data_Publisher,data_doi,data_Title,data_Authors,relation_type_id,publication_doi,publication_type,pub_publication_titleTitle,publication_authors,citation_event_source
Environmental Information Data Centre (EIDC),10.5285/813e07dd-2135-49bc-93c6-83999e442b36,Pike survival data 1953-1990,"['Winfield, I.J.', 'Fletcher, J.M.', 'James, J.B.']",IsReferencedBy,10.1111/1365-2656.12489,journal-article,Fitness consequences of early life conditions and maternal size effects in a freshwater top predator.,"['Yngvild, Vindenes', 'Øystein, Langangen', 'Ian J, Winfield', 'Leif Asbjørn, Vøllestad']",Scholix
Environmental Information Data Centre (EIDC),10.5285/813e07dd-2135-49bc-93c6-83999e442b36,Pike survival data 1953-1990,"['Winfield, I.J.', 'Fletcher, J.M.', 'James, J.B.']",is-referenced-by,10.1086/674610,University of Chicago Press,Effects of Climate Change on Trait-Based Dynamics of a Top Predator in Freshwater Ecosystems,"[['Yngvild', 'Vindenes'], ['Eric', 'Edeline'], ['Jan', 'Ohlberger'], ['Øystein', 'Langangen'], ['Ian J.', 'Winfield'], ['Nils C.', 'Stenseth'], ['L. Asbjørn', 'Vøllestad']]",DataCite
Environmental Information Data Centre (EIDC),10.5285/813e07dd-2135-49bc-93c6-83999e442b36,Pike survival data 1953-1990,"['Winfield, I.J.', 'Fletcher, J.M.', 'James, J.B.']",is-referenced-by,10.1002/ece3.5719,Wiley,Effects of size‐ and sex‐selective harvesting: An integral projection model approach,"[['Marlene Wæge', 'Stubberud'], ['Yngvild', 'Vindenes'], ['Leif Asbjørn', 'Vøllestad'], ['Ian J.', 'Winfield'], ['Nils Christian', 'Stenseth'], ['Øystein', 'Langangen']]",DataCite
Environmental Information Data Centre (EIDC),10.5285/711c8dc1-0f4e-42ad-a703-8b5d19c92247,"Land Cover Map 2015 (1km dominant aggregate class, GB)","['Rowland, C.S.', 'Morton, R.D.', 'Carrasco, L.', 'McShane, G.', ""O'Neil, A.W."", 'Wood, C.M.']",IsReferencedBy,10.1016/j.scitotenv.2019.06.052,journal-article,Plant and soil communities are associated with the response of soil water repellency to environmental stress,"['Seaton, Fiona M.', 'Jones, Davey L.', 'Creer, Simon', 'George, Paul B.L.', 'Smart, Simon M.', 'Lebron, Inma', 'Barrett, Gaynor', 'Emmett, Bridget A.', 'Robinson, David A.']",Scholix
Environmental Information Data Centre (EIDC),10.5285/711c8dc1-0f4e-42ad-a703-8b5d19c92247,"Land Cover Map 2015 (1km dominant aggregate class, GB)","['Rowland, C.S.', 'Morton, R.D.', 'Carrasco, L.', 'McShane, G.', ""O'Neil, A.W."", 'Wood, C.M.']",references,10.1101/2021.10.19.21265213,posted-content,Ambient heat exposure and COPD hospitalisations in England: A nationwide case-crossover study during 2007-2018,"[['Garyfallos', 'Konstantinoudis'], ['Cosetta', 'Minelli'], ['Ana Maria', 'Vicedo Cabrera'], ['Joan', 'Ballester'], ['Antonio', 'Gasparrini'], ['Marta', 'Blangiardo']]",CrossRef
Environmental Information Data Centre (EIDC),10.5285/711c8dc1-0f4e-42ad-a703-8b5d19c92247,"Land Cover Map 2015 (1km dominant aggregate class, GB)","['Rowland, C.S.', 'Morton, R.D.', 'Carrasco, L.', 'McShane, G.', ""O'Neil, A.W."", 'Wood, C.M.']",references,10.1111/icad.12438,journal-article,White‐faced darter distribution is associated with coniferous forests in Great Britain,"[['Matthew', 'Geary'], ['Achaz', 'Hardenberg']]",CrossRef
Environmental Information Data Centre (EIDC),10.5285/393a5946-8a22-4350-80f3-a60d753beb00,"Surface temperature, surface oxygen, water clarity, water chemistry and phytoplankton chlorophyll a data from Blelham Tarn, 1945 to 2013","['Maberly, S.C.', 'Brierley, B.', 'Carter, H.T.', 'Clarke, M.A.', 'De Ville, M.M.', 'Fletcher, J.M.', 'James, J.B.', 'Keenan, P.', 'Kelly, J.L.', 'Mackay, E.B.', 'Parker, J.E.', 'Patel, M.', 'Pereira, M.G.', 'Rhodes, G.', 'Tanna, B.', 'Thackeray, S.J.', 'Vincent, C.', 'Feuchtmayr, H.']",IsReferencedBy,10.5194/egusphere-egu2020-4613,posted-content,State tagging for improved earth and environmental data quality assurance,"['S. Rennie', 'Chak-Hau Michael Tso', 'Peter A. Henrys', 'John Watkins']",Scholix
Environmental Information Data Centre (EIDC),10.5285/393a5946-8a22-4350-80f3-a60d753beb00,"Surface temperature, surface oxygen, water clarity, water chemistry and phytoplankton chlorophyll a data from Blelham Tarn, 1945 to 2013","['Maberly, S.C.', 'Brierley, B.', 'Carter, H.T.', 'Clarke, M.A.', 'De Ville, M.M.', 'Fletcher, J.M.', 'James, J.B.', 'Keenan, P.', 'Kelly, J.L.', 'Mackay, E.B.', 'Parker, J.E.', 'Patel, M.', 'Pereira, M.G.', 'Rhodes, G.', 'Tanna, B.', 'Thackeray, S.J.', 'Vincent, C.', 'Feuchtmayr, H.']",is-referenced-by,10.3389/fenvs.2020.00046,Frontiers Media SA,State Tagging for Improved Earth and Environmental Data Quality Assurance,"[['Chak-Hau Michael', 'Tso'], ['Peter', 'Henrys'], ['Susannah', 'Rennie'], ['John', 'Watkins']]",DataCite
Environmental Information Data Centre (EIDC),10.5285/37f0ab37-78f1-4ca6-b51f-950e43977b16,Aquatic macrophyte transect data for the River Lambourn at Boxford 2009 to 2014,"['Scarlett, P.M.', 'Old, G.H.', 'Rameshwaran, P.', 'Roberts, C.']",IsReferencedBy,10.1111/fwb.13370,journal-article,The importance of seasonal macrophyte cover for the behaviour and performance of brown trout (Salmo trutta) in a groundwater‐fed river,"['Vowles, Andrew S.', 'Kemp, Paul S.']",Scholix
Environmental Information Data Centre (EIDC),10.5285/c8c3f4ef-889b-457a-a05b-1b2214d5802c,Coccinellidae competition,"['Hentley, W.T', 'Brien, M.N']",IsReferencedBy,10.1111/1365-2656.12519,journal-article,Antagonistic interactions between an invasive alien and a native coccinellid species may promote coexistence.,"['Hentley, W.T.', 'Vanbergen, A.J.', 'Beckerman, A.P.', 'Brien, M.N.', 'Hails, R.S.', 'Jones, T.H.', 'Johnson, S.N.']",Scholix
Environmental Information Data Centre (EIDC),10.5285/dbd72bb5-4ad5-4d2f-b546-1cea672f76e8,Spatial attendance data for immature common guillemots (Uria aalge) at four sites in a large breeding colony,"['Wanelik, K.M.', 'Harris, M.P.', 'Wanless, S.']",IsReferencedBy,10.1002/ece3.3612,journal-article,Investigating the effects of age-related spatial structuring on the transmission of a tick-borne virus in a colonially breeding host.,[],Scholix
Environmental Information Data Centre (EIDC),10.5285/d5ee5360-12c5-448c-9d2b-f5c941fe3948,"Land Cover Map 2000 (1km percentage target class, GB)","['Fuller, R.M.', 'Smith, G.M.', 'Sanderson J.M. ', 'Hill, R.A.', 'Thomson, A.G.', 'Cox, R.', 'Brown, N.J.', 'Clarke, R.T.', 'Rothery, P.', 'Gerard, F.F.']",IsReferencedBy,10.1080/13658816.2016.1158823,journal-article,Incorporating movement in species distribution models: how do simulations of dispersal affect the accuracy and uncertainty of projections?,"['Holloway, Paul', 'Miller, Jennifer A.', 'Gillings, Simon']",Scholix
Environmental Information Data Centre (EIDC),10.5285/d5ee5360-12c5-448c-9d2b-f5c941fe3948,"Land Cover Map 2000 (1km percentage target class, GB)","['Fuller, R.M.', 'Smith, G.M.', 'Sanderson J.M. ', 'Hill, R.A.', 'Thomson, A.G.', 'Cox, R.', 'Brown, N.J.', 'Clarke, R.T.', 'Rothery, P.', 'Gerard, F.F.']",references,10.1007/s10530-022-02785-8,journal-article,The potential for analyses of monitoring scheme data to inform about the impacts of invasive on native species,"[['Henrietta', 'Pringle'], ['Gavin', 'Siriwardena']]",CrossRef
Environmental Information Data Centre (EIDC),10.5285/5b89d8f3-86f0-431c-844f-eda5ddae9042,"Survey of bracken biomass, soil chemistry and other environmental factors in Snowdonia and the Lake District in 2014 [LTLS]","['Rowe, E.C.', 'Toberman, H.', 'Adams, J.L.', 'Lawlor, A.J.', 'Thacker, S.A.', 'Patel, M.', 'Tipping, E.']",IsReferencedBy,10.1016/j.scitotenv.2016.03.066,journal-article,Productivity in a dominant herbaceous species is largely unrelated to soil macronutrient stocks.,"['Rowe, E.C.', 'Toberman, H.', 'Adams, J.L.', 'Lawlor, A.J.', 'Thacker, S.A.', 'Patel, M.', 'Tipping, E.']",Scholix
Environmental Information Data Centre (EIDC),10.5285/3b90962e-6fc8-4251-853e-b9683e37f790,Grid-to-Grid model estimates of monthly mean flow and soil moisture for Great Britain: weather@home2 (climate model) driving data [MaRIUS-G2G-WAH2-monthly],"['Bell, V.A.', 'Rudd, A.C.', 'Kay, A.L.', 'Davies, H.N.']",IsReferencedBy,10.1007/s10584-019-02528-0,journal-article,National-scale analysis of future river flow and soil moisture droughts: potential changes in drought characteristics,"['Rudd, Alison C.', 'Kay, A. L.', 'Bell, V. A.']",Scholix
Environmental Information Data Centre (EIDC),10.5285/3b90962e-6fc8-4251-853e-b9683e37f790,Grid-to-Grid model estimates of monthly mean flow and soil moisture for Great Britain: weather@home2 (climate model) driving data [MaRIUS-G2G-WAH2-monthly],"['Bell, V.A.', 'Rudd, A.C.', 'Kay, A.L.', 'Davies, H.N.']",IsReferencedBy,10.1002/gdj3.55,journal-article,The MaRIUS-G2G datasets: Grid-to-Grid model estimates of flow and soil moisture for Great Britain using observed and climate model driving data,"['Bell, Victoria A.', 'Kay, Alison L.', 'Rudd, Alison C.', 'Davies, Helen N.']",Scholix
Environmental Information Data Centre (EIDC),10.5285/9f913f10-6e3d-449e-b8af-8fa2d06d7fd3,"Records of leaf damage caused by and parasitism of Cameraria ohridella in Britain in 2010 collected with a citizen science approach, plus validation of the data","['Pocock, M.J.O.', 'Evans, D.M.']",IsReferencedBy,10.1371/journal.pone.0086226,journal-article,"The success of the horse-chestnut leaf-miner, Cameraria ohridella, in the UK revealed with hypothesis-led citizen science.","['Michael J O, Pocock', 'Darren M, Evans']",Scholix
Environmental Information Data Centre (EIDC),10.5285/5afbbd36-2c63-4aa1-8177-695bed98d7a9,United Kingdom Butterfly Monitoring Scheme: species trends 2012,"['Botham, M.', 'Roy, D.', 'Brereton, T.', 'Middlebrook, I.', 'Randle, Z.']",IsReferencedBy,10.1007/s00799-016-0175-5,journal-article,"Implementation of a workflow for publishing citeable environmental data: successes, challenges and opportunities from a data centre perspective","['Harrison, Kathryn A.', 'Wright, Daniel G.', 'Trembath, Philip']",Scholix
Environmental Information Data Centre (EIDC),10.5285/5afbbd36-2c63-4aa1-8177-695bed98d7a9,United Kingdom Butterfly Monitoring Scheme: species trends 2012,"['Botham, M.', 'Roy, D.', 'Brereton, T.', 'Middlebrook, I.', 'Randle, Z.']",IsReferencedBy,10.1111/bij.12527,journal-article,Early Successional Invertebrate Trends,"['Mike Edwards', 'D. J. Simcox', 'Nick J. B. Isaac', 'Tom August', 'Gary D. Powney', 'Jeremy A. Thomas']",Scholix
Environmental Information Data Centre (EIDC),10.5285/b81071f2-85b3-4e31-8506-cabe899f989a,LiDAR based Digital Surface Model (DSM) data for South West England,"['Ferraccioli, F.', 'Gerard, F.', 'Robinson, C.', 'Jordan, T.', 'Biszczuk, M.', 'Ireland, L.', 'Beasley, M.', 'Vidamour, A.', 'Barker, A.', 'Arnold, R.', 'Dinn, M.', 'Fox, A.', 'Howard, A.']",IsReferencedBy,10.1007/s10980-019-00844-5,journal-article,Mapping landscape-scale peatland degradation using airborne lidar and multispectral data,"['Carless, Donna', 'Luscombe, David J.', 'Gatis, Naomi', 'Anderson, Karen', 'Brazier, Richard E.']",Scholix
Environmental Information Data Centre (EIDC),10.5285/b81071f2-85b3-4e31-8506-cabe899f989a,LiDAR based Digital Surface Model (DSM) data for South West England,"['Ferraccioli, F.', 'Gerard, F.', 'Robinson, C.', 'Jordan, T.', 'Biszczuk, M.', 'Ireland, L.', 'Beasley, M.', 'Vidamour, A.', 'Barker, A.', 'Arnold, R.', 'Dinn, M.', 'Fox, A.', 'Howard, A.']",IsReferencedBy,10.1002/ece3.2607,journal-article,A model of the extent and distribution of woody linear features in rural Great Britain,[],Scholix
Environmental Information Data Centre (EIDC),10.5285/b81071f2-85b3-4e31-8506-cabe899f989a,LiDAR based Digital Surface Model (DSM) data for South West England,"['Ferraccioli, F.', 'Gerard, F.', 'Robinson, C.', 'Jordan, T.', 'Biszczuk, M.', 'Ireland, L.', 'Beasley, M.', 'Vidamour, A.', 'Barker, A.', 'Arnold, R.', 'Dinn, M.', 'Fox, A.', 'Howard, A.']",IsReferencedBy,10.1016/j.geoderma.2015.05.018,journal-article,Relationships between gamma-ray attenuation and soils in SW England,"['Beamish, David']",Scholix
Environmental Information Data Centre (EIDC),10.5285/b81071f2-85b3-4e31-8506-cabe899f989a,LiDAR based Digital Surface Model (DSM) data for South West England,"['Ferraccioli, F.', 'Gerard, F.', 'Robinson, C.', 'Jordan, T.', 'Biszczuk, M.', 'Ireland, L.', 'Beasley, M.', 'Vidamour, A.', 'Barker, A.', 'Arnold, R.', 'Dinn, M.', 'Fox, A.', 'Howard, A.']",is-referenced-by,10.1016/j.agee.2021.107300,Elsevier BV,A regional-scale study of associations between farmland birds and linear woody networks of hedgerows and trees,"[['Richard K.', 'Broughton'], ['Jordan', 'Chetcuti'], ['Malcolm D.', 'Burgess'], ['France F.', 'Gerard'], ['Richard F.', 'Pywell']]",DataCite
Environmental Information Data Centre (EIDC),10.5285/b81071f2-85b3-4e31-8506-cabe899f989a,LiDAR based Digital Surface Model (DSM) data for South West England,"['Ferraccioli, F.', 'Gerard, F.', 'Robinson, C.', 'Jordan, T.', 'Biszczuk, M.', 'Ireland, L.', 'Beasley, M.', 'Vidamour, A.', 'Barker, A.', 'Arnold, R.', 'Dinn, M.', 'Fox, A.', 'Howard, A.']",is-referenced-by,10.3390/f8030068,MDPI AG,Structure from Motion (SfM) Photogrammetry with Drone Data: A Low Cost Method for Monitoring Greenhouse Gas Emissions from Forests in Developing Countries,"[['Reason', 'Mlambo'], ['Iain', 'Woodhouse'], ['France', 'Gerard'], ['Karen', 'Anderson']]",DataCite
Environmental Information Data Centre (EIDC),10.5285/b81071f2-85b3-4e31-8506-cabe899f989a,LiDAR based Digital Surface Model (DSM) data for South West England,"['Ferraccioli, F.', 'Gerard, F.', 'Robinson, C.', 'Jordan, T.', 'Biszczuk, M.', 'Ireland, L.', 'Beasley, M.', 'Vidamour, A.', 'Barker, A.', 'Arnold, R.', 'Dinn, M.', 'Fox, A.', 'Howard, A.']",is-referenced-by,10.3390/ijgi10010041,MDPI AG,The Potential of LiDAR and UAV-Photogrammetric Data Analysis to Interpret Archaeological Sites: A Case Study of Chun Castle in South-West England,"[['Israa', 'Kadhim'], ['Fanar', 'Abed']]",DataCite
Environmental Information Data Centre (EIDC),10.5285/b81071f2-85b3-4e31-8506-cabe899f989a,LiDAR based Digital Surface Model (DSM) data for South West England,"['Ferraccioli, F.', 'Gerard, F.', 'Robinson, C.', 'Jordan, T.', 'Biszczuk, M.', 'Ireland, L.', 'Beasley, M.', 'Vidamour, A.', 'Barker, A.', 'Arnold, R.', 'Dinn, M.', 'Fox, A.', 'Howard, A.']",is-referenced-by,10.1016/10.1007/s10980-019-00844-5,Info not given,Info not given,Info not given,DataCite
Environmental Information Data Centre (EIDC),10.5285/5f3c1a02-d5c4-4faa-9353-e8b68ce2ace2,Grid-to-Grid model estimates of daily mean river flow for gauged catchments in Great Britain (1960 to 2015): observed driving data [MaRIUS-G2G-MORECS-daily],"['Bell, V.A.', 'Rudd, A.C.', 'Kay, A.L.', 'Davies, H.N.']",IsReferencedBy,10.1002/gdj3.55,journal-article,The MaRIUS-G2G datasets: Grid-to-Grid model estimates of flow and soil moisture for Great Britain using observed and climate model driving data,"['Bell, Victoria A.', 'Kay, Alison L.', 'Rudd, Alison C.', 'Davies, Helen N.']",Scholix
Environmental Information Data Centre (EIDC),10.5285/5f3c1a02-d5c4-4faa-9353-e8b68ce2ace2,Grid-to-Grid model estimates of daily mean river flow for gauged catchments in Great Britain (1960 to 2015): observed driving data [MaRIUS-G2G-MORECS-daily],"['Bell, V.A.', 'Rudd, A.C.', 'Kay, A.L.', 'Davies, H.N.']",IsReferencedBy,10.1016/j.jhydrol.2017.05.018,journal-article,National-scale analysis of simulated hydrological droughts (1891–2015),"['Rudd, Alison C.', 'Bell, Victoria A.', 'Kay, Alison L.']",Scholix
Environmental Information Data Centre (EIDC),10.5285/fd7ca5ef-460a-463c-ad2b-5ad48bb4e22e,UK Environmental Change Network (ECN) stream water chemistry data: 1992-2015,"['Rennie, S.', 'Adamson, J.', 'Anderson, R.', 'Andrews, C.', 'Bater, J.', 'Bayfield, N.', 'Beaton, K.', 'Beaumont, D.', 'Benham, S.', 'Bowmaker, V.', 'Britt, C.', 'Brooker, R.', 'Brooks, D.', 'Brunt, J.', 'Common, G.', 'Cooper, R.', 'Corbett, S.', 'Critchley, N.', 'Dennis, P.', 'Dick, J.', 'Dodd, B.', 'Dodd, N.', 'Donovan, N.', 'Easter, J.', 'Flexen, M.', 'Gardiner, A.', 'Hamilton, D.', 'Hargreaves, P.', 'Hatton-Ellis, M.', 'Howe, M.', 'Kahl, J.', 'Lane, M.', 'Langan, S.', 'Lloyd, D.', 'McCarney, B.', 'McElarney, Y.', 'McKenna, C.', 'McMillan, S.', 'Milne, F.', 'Milne, L.', 'Morecroft, M.', 'Murphy, M.', 'Nelson, A.', 'Nicholson, H.', 'Pallett, D.', 'Parry, D.', 'Pearce, I.', 'Pozsgai, G.', 'Rose, R.', 'Schafer, S.', 'Scott, T.', 'Sherrin, L.', 'Shortall, C.', 'Smith, R.', 'Smith, P.', 'Tait, R.', 'Taylor, C.', 'Taylor, M.', 'Thurlow, M.', 'Turner, A.', 'Tyson, K.', 'Watson, H.', 'Whittaker, M.', 'Wood, C.']",IsReferencedBy,10.1002/2017jg004312,journal-article,A Molecular Budget for a Peatland Based Upon 13C Solid‐State Nuclear Magnetic Resonance,"['Moody, Catherine S.', 'Worrall, Fred', 'Clay, Gareth D.', 'Burt, Tim P.', 'Apperley, David C.', 'Rose, Rob']",Scholix
Environmental Information Data Centre (EIDC),10.5285/fd7ca5ef-460a-463c-ad2b-5ad48bb4e22e,UK Environmental Change Network (ECN) stream water chemistry data: 1992-2015,"['Rennie, S.', 'Adamson, J.', 'Anderson, R.', 'Andrews, C.', 'Bater, J.', 'Bayfield, N.', 'Beaton, K.', 'Beaumont, D.', 'Benham, S.', 'Bowmaker, V.', 'Britt, C.', 'Brooker, R.', 'Brooks, D.', 'Brunt, J.', 'Common, G.', 'Cooper, R.', 'Corbett, S.', 'Critchley, N.', 'Dennis, P.', 'Dick, J.', 'Dodd, B.', 'Dodd, N.', 'Donovan, N.', 'Easter, J.', 'Flexen, M.', 'Gardiner, A.', 'Hamilton, D.', 'Hargreaves, P.', 'Hatton-Ellis, M.', 'Howe, M.', 'Kahl, J.', 'Lane, M.', 'Langan, S.', 'Lloyd, D.', 'McCarney, B.', 'McElarney, Y.', 'McKenna, C.', 'McMillan, S.', 'Milne, F.', 'Milne, L.', 'Morecroft, M.', 'Murphy, M.', 'Nelson, A.', 'Nicholson, H.', 'Pallett, D.', 'Parry, D.', 'Pearce, I.', 'Pozsgai, G.', 'Rose, R.', 'Schafer, S.', 'Scott, T.', 'Sherrin, L.', 'Shortall, C.', 'Smith, R.', 'Smith, P.', 'Tait, R.', 'Taylor, C.', 'Taylor, M.', 'Thurlow, M.', 'Turner, A.', 'Tyson, K.', 'Watson, H.', 'Whittaker, M.', 'Wood, C.']",IsReferencedBy,10.1002/jeq2.20155,journal-article,Biogeochemical and climate drivers of wetland phosphorus and nitrogen release: Implications for nutrient legacies and eutrophication risk,"['Helen P. Jarvie', 'Philip Farrand', 'L.K. Armstrong', 'David J. E. Nicholls', 'D. Pallett', 'William D. Lord', 'Nigel Fisher', 'Stephen M. King', 'Alan Warwick', 'S. Schafer', 'Merrin L. Macrae', 'Michael J. Bowes', 'Richard J. Williams', 'Daniel Rylett', 'C. Roberts']",Scholix
Environmental Information Data Centre (EIDC),10.5285/fd7ca5ef-460a-463c-ad2b-5ad48bb4e22e,UK Environmental Change Network (ECN) stream water chemistry data: 1992-2015,"['Rennie, S.', 'Adamson, J.', 'Anderson, R.', 'Andrews, C.', 'Bater, J.', 'Bayfield, N.', 'Beaton, K.', 'Beaumont, D.', 'Benham, S.', 'Bowmaker, V.', 'Britt, C.', 'Brooker, R.', 'Brooks, D.', 'Brunt, J.', 'Common, G.', 'Cooper, R.', 'Corbett, S.', 'Critchley, N.', 'Dennis, P.', 'Dick, J.', 'Dodd, B.', 'Dodd, N.', 'Donovan, N.', 'Easter, J.', 'Flexen, M.', 'Gardiner, A.', 'Hamilton, D.', 'Hargreaves, P.', 'Hatton-Ellis, M.', 'Howe, M.', 'Kahl, J.', 'Lane, M.', 'Langan, S.', 'Lloyd, D.', 'McCarney, B.', 'McElarney, Y.', 'McKenna, C.', 'McMillan, S.', 'Milne, F.', 'Milne, L.', 'Morecroft, M.', 'Murphy, M.', 'Nelson, A.', 'Nicholson, H.', 'Pallett, D.', 'Parry, D.', 'Pearce, I.', 'Pozsgai, G.', 'Rose, R.', 'Schafer, S.', 'Scott, T.', 'Sherrin, L.', 'Shortall, C.', 'Smith, R.', 'Smith, P.', 'Tait, R.', 'Taylor, C.', 'Taylor, M.', 'Thurlow, M.', 'Turner, A.', 'Tyson, K.', 'Watson, H.', 'Whittaker, M.', 'Wood, C.']",is-referenced-by,10.5194/essd-12-87-2020,Copernicus GmbH,The UK Environmental Change Network datasets – integrated and co-located data for long-term environmental research (1993–2015),"[['Susannah', 'Rennie'], ['Chris', 'Andrews'], ['Sarah', 'Atkinson'], ['Deborah', 'Beaumont'], ['Sue', 'Benham'], ['Vic', 'Bowmaker'], ['Jan', 'Dick'], ['Bev', 'Dodd'], ['Colm', 'McKenna'], ['Denise', 'Pallett'], ['Rob', 'Rose'], ['Stefanie M.', 'Schäfer'], ['Tony', 'Scott'], ['Carol', 'Taylor'], ['Helen', 'Watson']]",DataCite
Environmental Information Data Centre (EIDC),10.5285/fd7ca5ef-460a-463c-ad2b-5ad48bb4e22e,UK Environmental Change Network (ECN) stream water chemistry data: 1992-2015,"['Rennie, S.', 'Adamson, J.', 'Anderson, R.', 'Andrews, C.', 'Bater, J.', 'Bayfield, N.', 'Beaton, K.', 'Beaumont, D.', 'Benham, S.', 'Bowmaker, V.', 'Britt, C.', 'Brooker, R.', 'Brooks, D.', 'Brunt, J.', 'Common, G.', 'Cooper, R.', 'Corbett, S.', 'Critchley, N.', 'Dennis, P.', 'Dick, J.', 'Dodd, B.', 'Dodd, N.', 'Donovan, N.', 'Easter, J.', 'Flexen, M.', 'Gardiner, A.', 'Hamilton, D.', 'Hargreaves, P.', 'Hatton-Ellis, M.', 'Howe, M.', 'Kahl, J.', 'Lane, M.', 'Langan, S.', 'Lloyd, D.', 'McCarney, B.', 'McElarney, Y.', 'McKenna, C.', 'McMillan, S.', 'Milne, F.', 'Milne, L.', 'Morecroft, M.', 'Murphy, M.', 'Nelson, A.', 'Nicholson, H.', 'Pallett, D.', 'Parry, D.', 'Pearce, I.', 'Pozsgai, G.', 'Rose, R.', 'Schafer, S.', 'Scott, T.', 'Sherrin, L.', 'Shortall, C.', 'Smith, R.', 'Smith, P.', 'Tait, R.', 'Taylor, C.', 'Taylor, M.', 'Thurlow, M.', 'Turner, A.', 'Tyson, K.', 'Watson, H.', 'Whittaker, M.', 'Wood, C.']",is-referenced-by,10.1016/j.scitotenv.2022.157014,Elsevier BV,Is water quality in British rivers “better than at any time since the end of the Industrial Revolution”?,"[['M.J.', 'Whelan'], ['C.', 'Linstead'], ['F.', 'Worrall'], ['S.J.', 'Ormerod'], ['I.', 'Durance'], ['A.C.', 'Johnson'], ['D.', 'Johnson'], ['M.', 'Owen'], ['E.', 'Wiik'], ['N.J.K.', 'Howden'], ['T.P.', 'Burt'], ['A.', 'Boxall'], ['C.D.', 'Brown'], ['D.M.', 'Oliver'], ['D.', 'Tickner']]",DataCite
Environmental Information Data Centre (EIDC),10.5285/fd7ca5ef-460a-463c-ad2b-5ad48bb4e22e,UK Environmental Change Network (ECN) stream water chemistry data: 1992-2015,"['Rennie, S.', 'Adamson, J.', 'Anderson, R.', 'Andrews, C.', 'Bater, J.', 'Bayfield, N.', 'Beaton, K.', 'Beaumont, D.', 'Benham, S.', 'Bowmaker, V.', 'Britt, C.', 'Brooker, R.', 'Brooks, D.', 'Brunt, J.', 'Common, G.', 'Cooper, R.', 'Corbett, S.', 'Critchley, N.', 'Dennis, P.', 'Dick, J.', 'Dodd, B.', 'Dodd, N.', 'Donovan, N.', 'Easter, J.', 'Flexen, M.', 'Gardiner, A.', 'Hamilton, D.', 'Hargreaves, P.', 'Hatton-Ellis, M.', 'Howe, M.', 'Kahl, J.', 'Lane, M.', 'Langan, S.', 'Lloyd, D.', 'McCarney, B.', 'McElarney, Y.', 'McKenna, C.', 'McMillan, S.', 'Milne, F.', 'Milne, L.', 'Morecroft, M.', 'Murphy, M.', 'Nelson, A.', 'Nicholson, H.', 'Pallett, D.', 'Parry, D.', 'Pearce, I.', 'Pozsgai, G.', 'Rose, R.', 'Schafer, S.', 'Scott, T.', 'Sherrin, L.', 'Shortall, C.', 'Smith, R.', 'Smith, P.', 'Tait, R.', 'Taylor, C.', 'Taylor, M.', 'Thurlow, M.', 'Turner, A.', 'Tyson, K.', 'Watson, H.', 'Whittaker, M.', 'Wood, C.']",is-referenced-by,10.5194/essd-2019-74,Copernicus GmbH,The UK Environmental Change Network datasets – integrated and co-located  data for long-term environmental research (1993–2015),"[['Susannah', 'Rennie'], ['Chris', 'Andrews'], ['Sarah', 'Atkinson'], ['Deborah', 'Beaumont'], ['Sue', 'Benham'], ['Vic', 'Bowmaker'], ['Jan', 'Dick'], ['Bev', 'Dodd'], ['Colm', 'McKenna'], ['Denise', 'Pallett'], ['Rob', 'Rose'], ['Stefanie M.', 'Schäfer'], ['Tony', 'Scott'], ['Carol', 'Taylor'], ['Helen', 'Watson']]",DataCite
Environmental Information Data Centre (EIDC),10.5285/ed90df1b-462c-46bb-afbd-59794fb03f6b,Elemental concentrations in fish from lakes in Northwest England,"['Barnett, C.L.', 'Wells, C.', 'Thacker, S.', 'Guyatt, H.J.', 'Fletcher, J.M.', 'Lawlor, A.J.', 'Winfield, I.J.', 'Beresford, N.A.']",IsReferencedBy,10.1016/j.jenvrad.2015.03.022,journal-article,Making the most of what we have: application of extrapolation approaches in radioecological wildlife transfer models,"['Beresford, NA', 'Wood, M', 'Vives i Batlle, J', 'Yankovich, TL', 'Bradshaw, C', 'Willey, N']",Scholix
Environmental Information Data Centre (EIDC),10.5285/c9e802b3-43c8-4b36-a3a3-8861d9da8ea9,Global ammonia emissions from seabirds,"['Riddick, S.N.', 'Dragosits, U.', 'Blackall, T.D.', 'Daunt, F.', 'Wanless, S.', 'Sutton, M.A.']",IsReferencedBy,10.1038/ncomms13444,journal-article,Contribution of Arctic Seabird-Colony Ammonia to Atmospheric Particles and Cloud-Albedo Radiative Effect,"['Croft, B.', 'Wentworth, G. R.', 'Martin, R. V.', 'Leaitch, W. R.', 'Murphy, J. G.', 'Murphy, B. N.', 'Kodros, J. K.', 'Abbatt, J. P. D.', 'Pierce, J. R.']",Scholix
